"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
"sandwich" "sandwich" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.0-1" NA "R (>= 3.0.0)" "stats, utils, zoo" NA "AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival" NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"sass" "sass" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.0" NA NA "fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs" NA "testthat, knitr, rmarkdown, withr, shiny, curl" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"ScaledMatrix" "ScaledMatrix" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.0" NA NA "methods, Matrix, S4Vectors, DelayedArray" NA "testthat, BiocStyle, knitr, rmarkdown, BiocSingular" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"scales" "scales" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.1" NA "R (>= 3.2)" "farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite" NA "bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"scater" "scater" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.20.0" NA "SingleCellExperiment, scuttle, ggplot2" "stats, utils, methods, grid, gridExtra, Matrix, BiocGenerics,
S4Vectors, SummarizedExperiment, DelayedArray,
DelayedMatrixStats, beachmat, BiocNeighbors, BiocSingular,
BiocParallel, rlang, ggbeeswarm, viridis, Rtsne, RColorBrewer" NA "BiocStyle, biomaRt, cowplot, destiny, knitr, scRNAseq,
robustbase, rmarkdown, uwot, NMF, testthat, pheatmap, snifter,
Biobase" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"scattermore" "scattermore" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.7" NA NA "ggplot2, scales, grid, grDevices, graphics" NA NA NA "GPL (>= 3)" NA NA NA NA "yes" "4.1.0"
"scatterpie" "scatterpie" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.6" NA "R (>= 3.4.0), ggplot2" "ggforce, rlang, rvcheck, stats, tidyr, utils" NA "knitr, rmarkdown, prettydoc, maps" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"scatterplot3d" "scatterplot3d" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3-41" NA "R (>= 2.7.0)" "grDevices, graphics, stats" NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"scDblFinder" "scDblFinder" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.6.0" NA "R (>= 4.1)" "igraph, Matrix, BiocGenerics, BiocParallel, BiocNeighbors,
BiocSingular, S4Vectors, SummarizedExperiment,
SingleCellExperiment, scran, scater, scuttle, bluster, methods,
DelayedArray, xgboost, stats, utils, mbkmeans" NA "BiocStyle, knitr, rmarkdown, testthat, scRNAseq, circlize,
ComplexHeatmap, ggplot2, dplyr, MASS, viridisLite" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"scPCA" "scPCA" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5.3" NA "R (>= 4.0.2)" "stats, methods, assertthat, tibble, dplyr, purrr, stringr,
Rdpack, matrixStats, BiocParallel, elasticnet, sparsepca,
cluster, kernlab, origami, RSpectra, coop, Matrix,
DelayedArray, ScaledMatrix, MatrixGenerics" NA "DelayedMatrixStats, sparseMatrixStats, testthat (>= 2.1.0),
covr, knitr, rmarkdown, BiocStyle, ggplot2, ggpubr, splatter,
SingleCellExperiment, microbenchmark" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"scran" "scran" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.20.0" NA "SingleCellExperiment, scuttle" "SummarizedExperiment, S4Vectors, BiocGenerics, BiocParallel,
Rcpp, stats, methods, utils, Matrix, edgeR, limma, igraph,
statmod, DelayedArray, DelayedMatrixStats, BiocSingular,
bluster, metapod, dqrng, beachmat" "Rcpp, beachmat, BH, dqrng, scuttle" "testthat, BiocStyle, knitr, rmarkdown, HDF5Array, scRNAseq,
dynamicTreeCut, ResidualMatrix, ScaledMatrix, DESeq2, monocle,
Biobase, pheatmap, scater" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"scrime" "scrime" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3.5" NA NA "methods, stats, utils" NA "MASS, RSQLite (>= 0.4-15), oligoClasses (>= 1.1.9), DBI" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"scRNAseq" "scRNAseq" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.6.0" NA "SingleCellExperiment" "utils, methods, BiocGenerics, S4Vectors, GenomicRanges,
SummarizedExperiment, ExperimentHub, AnnotationHub,
AnnotationDbi, ensembldb, GenomicFeatures" NA "BiocStyle, knitr, rmarkdown, BiocFileCache, testthat,
rappdirs, tools" NA "CC0" NA NA NA NA "no" "4.1.0"
"sctransform" "sctransform" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.2" NA "R (>= 3.1.0)" "MASS, Matrix, methods, future.apply, future, ggplot2,
reshape2, gridExtra, matrixStats" "RcppArmadillo, Rcpp (>= 0.11.0)" "irlba, testthat, knitr" "glmGamPoi" "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"scuttle" "scuttle" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "SingleCellExperiment" "methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat" "Rcpp, beachmat" "BiocStyle, knitr, scRNAseq, rmarkdown, testthat, scran" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"segmented" "segmented" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-4" NA NA NA NA NA NA "GPL" NA NA NA NA "no" "4.1.0"
"selectr" "selectr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4-2" NA "R (>= 3.0)" "methods, stringr, R6" NA "testthat, XML, xml2" NA "BSD_3_clause + file LICENCE" NA NA NA NA "no" "4.1.0"
"seriation" "seriation" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2-9" NA "R (>= 2.14.0)" "stats, grDevices, grid, TSP, qap, cluster, gclus, dendextend,
colorspace, MASS, gplots, registry" NA "biclust, testthat, DendSer, GA" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"servr" "servr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.22" NA "R (>= 3.0.0)" "mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite" NA "tools, later, rstudioapi, knitr (>= 1.9), rmarkdown" NA "GPL" NA NA NA NA "no" "4.1.0"
"sessioninfo" "sessioninfo" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.1" NA NA "cli, tools, utils, withr" NA "callr, covr, mockery, testthat" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"sets" "sets" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-18" NA "R (>= 2.7.0)" "graphics,grDevices,stats,utils" NA "proxy" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"Seurat" "Seurat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "4.0.2" NA "R (>= 4.0.0), methods" "cluster, cowplot, fitdistrplus, future, future.apply, ggplot2
(>= 3.3.0), ggrepel, ggridges, graphics, grDevices, grid, httr,
ica, igraph, irlba, jsonlite, KernSmooth, leiden (>= 0.3.1),
lmtest, MASS, Matrix (>= 1.2-14), matrixStats, miniUI,
patchwork, pbapply, plotly (>= 4.9.0), png, RANN, RColorBrewer,
Rcpp, RcppAnnoy (>= 0.0.18), reticulate, rlang, ROCR, Rtsne,
scales, scattermore (>= 0.7), sctransform (>= 0.3.2),
SeuratObject, shiny, spatstat.core, spatstat.geom, stats,
tibble, tools, utils, uwot (>= 0.1.9)" "Rcpp (>= 0.11.0), RcppEigen, RcppProgress" "ape, rsvd, testthat, hdf5r, S4Vectors, SummarizedExperiment,
SingleCellExperiment, MAST, DESeq2, BiocGenerics,
GenomicRanges, GenomeInfoDb, IRanges, rtracklayer, Rfast2,
monocle, Biobase, VGAM, limma, metap, enrichR, mixtools" NA "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"SeuratObject" "SeuratObject" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "4.0.1" NA "R (>= 4.0.0)" "grDevices, grid, Matrix (>= 1.3.3), methods, Rcpp (>= 1.0.5),
rlang (>= 0.4.7), stats, tools, utils" "Rcpp, RcppEigen" "testthat" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"sf" "sf" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9-8" NA "methods, R (>= 3.3.0)" "classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils" "Rcpp" "blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, microbenchmark, odbc, pillar, pool,
raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, s2 (>= 1.0.1), sp (>= 1.2-4), spatstat
(>= 2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs" NA "GPL-2 | MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"sgt" "sgt" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0" NA "R (>= 3.0.0), optimx (>= 2013.8.7), numDeriv (>= 2014.2-1)" NA NA NA NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"shadowtext" "shadowtext" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.0.8" NA "R (>= 3.4.0)" "ggplot2, grid, scales" NA "knitr, rmarkdown, prettydoc" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"shape" "shape" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.6" NA "R (>= 2.01)" "stats, graphics, grDevices" NA NA NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"shiny" "shiny" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.6.0" NA "R (>= 3.0.2), methods" "utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)" NA "datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass" NA "GPL-3 | file LICENSE" NA NA NA NA "no" "4.1.0"
"shinyAce" "shinyAce" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.1" NA "R (>= 3.3.0)" "shiny (>= 1.0.5), jsonlite, utils, tools" NA "testthat (>= 2.0.0), dplyr (>= 0.8.3)" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"shinyBS" "shinyBS" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.61" NA NA "shiny (>= 0.11), htmltools" NA NA NA "GPL-3" NA NA NA NA "no" "4.1.0"
"shinydashboard" "shinydashboard" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.7.1" NA "R (>= 3.0)" "utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises" NA NA NA "GPL (>= 2) | file LICENSE" NA NA NA NA "no" "4.1.0"
"shinyjs" "shinyjs" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.0" NA "R (>= 3.1.0)" "digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)" NA "knitr (>= 1.7), rmarkdown, shinyAce, shinydisconnect,
testthat (>= 0.9.1)" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"shinystan" "shinystan" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.5.0" NA "R (>= 3.1.0), shiny (>= 1.0.3)" "bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)" NA "coda, knitr (>= 1.9), rmarkdown (>= 0.8.1), rstanarm (>=
2.17.4), testthat" NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"shinythemes" "shinythemes" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "R (>= 3.0.0)" "shiny (>= 0.11)" NA NA NA "GPL-3 | file LICENSE" NA NA NA NA "no" "4.1.0"
"shinyWidgets" "shinyWidgets" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6.0" NA "R (>= 3.1.0)" "bslib, sass, shiny (>= 0.14), htmltools, jsonlite, grDevices" NA "shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"ShortRead" "ShortRead" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.50.0" NA "BiocGenerics (>= 0.23.3), BiocParallel, Biostrings (>=
2.47.6), Rsamtools (>= 1.31.2), GenomicAlignments (>= 1.15.6)" "Biobase, S4Vectors (>= 0.17.25), IRanges (>= 2.13.12),
GenomeInfoDb (>= 1.15.2), GenomicRanges (>= 1.31.8), hwriter,
methods, zlibbioc, lattice, latticeExtra," "S4Vectors, IRanges, XVector, Biostrings, Rhtslib, zlibbioc" "BiocStyle, RUnit, biomaRt, GenomicFeatures, yeastNagalakshmi" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"siggenes" "siggenes" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.66.0" NA "Biobase, multtest, splines, methods" "stats4, grDevices, graphics, stats, scrime (>= 1.2.5)" NA "affy, annotate, genefilter, KernSmooth" NA "LGPL (>= 2)" NA NA NA NA "no" "4.1.0"
"SingleCellExperiment" "SingleCellExperiment" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.14.0" NA "SummarizedExperiment" "methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray" NA "testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq,
Rtsne" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"SingleR" "SingleR" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.6.0" NA "SummarizedExperiment" "methods, Matrix, S4Vectors, DelayedArray, DelayedMatrixStats,
BiocNeighbors, BiocParallel, BiocSingular, stats, utils, Rcpp,
beachmat, parallel" "Rcpp, beachmat" "testthat, knitr, rmarkdown, BiocStyle, BiocGenerics,
SingleCellExperiment, scuttle, scater, scran, scRNAseq,
ggplot2, pheatmap, grDevices, gridExtra, viridis, celldex" NA "GPL-3 + file LICENSE" NA NA NA NA "yes" "4.1.0"
"sitmo" "sitmo" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.1" NA "R (>= 3.2.0)" "Rcpp (>= 0.12.13)" "Rcpp" "knitr, rmarkdown, ggplot2" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"skimr" "skimr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1.3" NA "R (>= 3.1.2)" "cli, crayon, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>=
1.5), purrr, repr, rlang (>= 0.3.1), stats, stringr (>= 1.1),
tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect (>= 1.0.0),
vctrs, withr" NA "covr, data.table, dtplyr, extrafont, lubridate, rmarkdown,
sf, testthat (>= 2.0.0)" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"slam" "slam" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1-48" NA "R (>= 3.4.0)" "stats" NA NA "Matrix, SparseM, spam" "GPL-2" NA NA NA NA "yes" "4.1.0"
"slingshot" "slingshot" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.0" NA "R (>= 4.0), princurve (>= 2.0.4), stats, TrajectoryUtils" "graphics, grDevices, igraph, matrixStats, methods, S4Vectors,
SingleCellExperiment, SummarizedExperiment" NA "BiocGenerics, BiocStyle, clusterExperiment, knitr, mclust,
mgcv, RColorBrewer, rgl, rmarkdown, testthat, uwot, covr" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"smoother" "smoother" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1" NA "TTR(>= 0.22)" NA NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"sn" "sn" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.0" NA "R (>= 3.0.0), methods, stats4" "mnormt (>= 2.0.0), numDeriv, utils, quantreg" NA "R.rsp" NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"snakecase" "snakecase" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.11.0" NA "R (>= 3.2)" "stringr, stringi" NA "testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"snifter" "snifter" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "R (>= 4.0.0)" "basilisk, reticulate, assertthat" NA "knitr, rmarkdown, scRNAseq, BiocStyle, scater, scran,
scuttle, ggplot2, testthat (>= 3.0.0)" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"snow" "snow" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4-3" NA "R (>= 2.13.1), utils" NA NA "Rmpi,rlecuyer,nws" NA "GPL" NA NA NA NA "no" "4.1.0"
"SnowballC" "SnowballC" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.7.0" NA NA NA NA NA NA "BSD_3_clause + file LICENSE" NA NA NA NA "yes" "4.1.0"
"sourcetools" "sourcetools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.7" NA "R (>= 3.0.2)" NA NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"sp" "sp" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-5" NA "R (>= 3.0.0), methods" "utils, stats, graphics, grDevices, lattice, grid" NA "RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spam" "spam" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.6-0" NA "R (>= 3.1), dotCall64, grid, methods" NA NA "spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown" NA "LGPL-2 | BSD_3_clause + file LICENSE" NA NA NA NA "yes" "4.1.0"
"SparseM" "SparseM" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.81" NA "R (>= 2.15), methods" "graphics, stats, utils" NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"sparseMatrixStats" "sparseMatrixStats" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.0" NA "MatrixGenerics" "Rcpp, Matrix, matrixStats, methods" "Rcpp" "testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"sparsepca" "sparsepca" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.2" NA NA "rsvd" NA NA NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"sparsesvd" "sparsesvd" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2" NA "R (>= 3.0)" "Matrix, methods" NA NA NA "BSD_3_clause + file LICENSE" NA NA NA NA "yes" "4.1.0"
"SpatialExperiment" "SpatialExperiment" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "methods, SingleCellExperiment" "BiocFileCache, DropletUtils, rjson, magick, grDevices,
S4Vectors, SummarizedExperiment, BiocGenerics, utils" NA "knitr, rmarkdown, testthat, BiocStyle, BumpyMatrix" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"spatstat" "spatstat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-0" NA "R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.0-1), spatstat.core (>= 2.0-0), spatstat.linnet (>= 2.1-1),
utils" "spatstat.utils (>= 2.1-0)" NA "" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spatstat.core" "spatstat.core" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-2" NA "R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.0-0), stats, graphics, grDevices, utils, methods, nlme, rpart" "spatstat.utils (>= 2.1-0), spatstat.sparse (>= 2.0-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)" NA "sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), spatstat.linnet (>= 2.0-0), spatstat (>= 2.0-0)" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spatstat.data" "spatstat.data" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-0" NA "R (>= 3.5.0)" "spatstat.utils (>= 2.1-0), Matrix" NA "spatstat.geom, spatstat.core, spatstat.linnet" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"spatstat.geom" "spatstat.geom" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-0" NA "R (>= 3.5.0), spatstat.data (>= 2.0), stats, graphics,
grDevices, utils, methods" "spatstat.utils (>= 2.1-0), deldir (>= 0.0-21), polyclip (>=
1.10-0)" NA "spatstat.core, spatstat.linnet, maptools (>= 0.9-9), spatial,
fftwtools (>= 0.9-8), spatstat (>= 2.0)" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spatstat.linnet" "spatstat.linnet" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-1" NA "R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.0-0), spatstat.core (>= 2.0-0), stats, graphics, grDevices,
methods, utils" "spatstat.utils (>= 2.1-0), Matrix" NA "goftest, locfit, spatstat (>= 2.0-0)" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spatstat.sparse" "spatstat.sparse" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0-0" NA "R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor" "spatstat.utils (>= 2.1-0)" NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spatstat.utils" "spatstat.utils" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-0" NA "R (>= 3.3.0), stats, graphics, grDevices, utils, methods" NA NA "spatstat.core" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spData" "spData" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.8" NA "R (>= 3.3.0)" "sp, raster" NA "foreign, maptools, rgdal, sf (>= 0.9-1), spDataLarge (>=
0.4.0), spdep, spatialreg" NA "CC0" NA NA NA NA "no" "4.1.0"
"spdep" "spdep" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-7" NA "R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf" "deldir, boot (>= 1.3-1), graphics, grDevices, utils, stats,
Matrix, LearnBayes, MASS, coda, expm, gmodels, nlme" NA "spatialreg (>= 1.1-1), parallel, dbscan, rgeos, RColorBrewer,
lattice, xtable, maptools (>= 0.5-4), foreign, igraph,
RSpectra, knitr, rgdal, classInt, tmap, spam, ggplot2,
rmarkdown" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"spelling" "spelling" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.2" NA NA "commonmark, xml2, hunspell (>= 3.0), knitr" NA "pdftools" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"splancs" "splancs" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.01-42" NA "R (>= 2.10.0), sp (>= 0.9)" "stats, graphics, grDevices, methods" NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"splus2R" "splus2R" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-3" NA "R (>= 2.7.2)" "methods" NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"SQUAREM" "SQUAREM" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2021.1" NA "R (>= 3.0)" NA NA "setRNG" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"StanHeaders" "StanHeaders" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.21.0-7" NA "R (>= 3.4.0)" "RcppParallel (>= 5.0.1)" "RcppEigen, RcppParallel (>= 5.0.1)" "Rcpp, BH, knitr (>= 1.15.1), rmarkdown, Matrix, methods,
rstan" NA "BSD_3_clause + file LICENSE" NA NA NA NA "yes" "4.1.0"
"stars" "stars" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5-2" NA "R (>= 3.3.0), abind, sf (>= 0.9-7)" "methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units" NA "PCICt, RNetCDF (>= 1.8-2), clue, covr, cubelyr, digest, dplyr
(>= 0.7-0), exactextractr, future.apply, ggforce, ggplot2,
ggthemes, gstat, httr, jsonlite, knitr, maps, mapdata,
ncdfgeom, ncmeta (>= 0.0.3), pbapply, plm, randomForest,
raster, rgdal, rmarkdown, s2 (>= 1.0.0), sp, spacetime,
spatstat (>= 2.0-1), spatstat.geom, starsdata, terra, testthat,
viridis, xts, zoo" NA "Apache License" NA NA NA NA "no" "4.1.0"
"statmod" "statmod" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.36" NA "R (>= 3.0.0)" "stats, graphics" NA "MASS, tweedie" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"stopwords" "stopwords" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.2" NA "R (>= 2.10)" "ISOcodes" NA "covr, lintr, quanteda, spelling, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"stringdist" "stringdist" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9.6.3" NA "R (>= 2.15.3)" "parallel" NA "tinytest" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
